ID,Guardian (Guardians),Relation (Guardians)
12007-001,F12007-001,Father
12007-002,F12007-002,Father
12007-003,F12007-003,Father
12007-004,F12007-004,Father
12007-005,F12007-005,Father
12007-007,F12007-007,Father
12007-009,F12007-009,Father
12007-011,F12007-011,Father
12007-013,F12007-013,Father
12007-014,F12007-014,Father
12007-015,F12007-015,Father
12007-016,F12007-016,Father
12007-023,F12007-023,Father
12007-024,F12007-024,Father
12007-025,F12007-025,Father
12007-026,F12007-026,Father
12007-027,F12007-027,Father
12007-028,F12007-028,Father
12007-029,F12007-029,Father
12007-030,F12007-030,Father
12007-032,F12007-032,Father
12007-033,F12007-033,Father
12007-034,F12007-034,Father
12007-035,F12007-035,Father
12007-036,F12007-036,Father
12007-037,F12007-037,Father
12007-038,F12007-038,Father
12007-040,F12007-040,Father
12007-041,F12007-041,Father
12007-043,F12007-043,Father
12007-044,F12007-044,Father
12007-047,F12007-047,Father
12007-049,F12007-049,Father
12007-050,F12007-050,Father
12007-051,F12007-051,Father
12007-052,F12007-052,Father
12007-054,F12007-054,Father
12007-055,F12007-055,Father
12007-056,F12007-056,Father
12007-057,F12007-057,Father
12007-060,F12007-060,Father
12007-061,F12007-061,Father
12007-062,F12007-062,Father
12007-065,F12007-065,Father
12007-066,F12007-066,Father
12007-067,F12007-067,Father
12007-069,F12007-069,Father
12008-002,F12008-002,Father
12008-003,F12008-003,Father
12008-006,F12008-006,Father
12008-008,F12008-008,Father
12008-009,F12008-009,Father
12008-011,F12008-011,Father
12008-012,F12008-012,Father
12008-013,F12008-013,Father
12008-014,F12008-014,Father
12008-016,F12008-016,Father
12008-017,F12008-017,Father
12008-019,F12008-019,Father
12008-020,F12008-020,Father
12008-021,F12008-021,Father
12008-022,F12008-022,Father
12008-023,F12008-023,Father
12107-001,F12107-001,Father
12107-002,F12107-002,Father
12107-003,F12107-003,Father
12107-005,F12107-005,Father
12107-006,F12107-006,Father
12107-009,F12107-009,Father
12107-011,F12107-011,Father
12107-012,F12107-012,Father
12107-014,F12107-014,Father
12107-016,F12107-016,Father
12107-017,F12107-017,Father
12107-021,F12107-021,Father
12107-022,F12107-022,Father
12107-023,F12107-023,Father
12107-025,F12107-025,Father
12107-029,F12107-029,Father
12107-030,F12107-030,Father
12107-032,F12107-032,Father
12107-033,F12107-033,Father
12107-034,F12107-034,Father
12107-036,F12107-036,Father
12107-037,F12107-037,Father
12107-038,F12107-038,Father
12107-039,F12107-039,Father
12107-040,F12107-040,Father
12107-041,F12107-041,Father
12107-042,F12107-042,Father
12107-043,F12107-043,Father
12107-047,F12107-047,Father
12107-048,F12107-048,Father
12107-050,F12107-050,Father
12107-051,F12107-051,Father
12107-052,F12107-052,Father
12107-054,F12107-054,Father
12107-056,F12107-056,Father
12107-058,F12107-058,Father
12107-059,F12107-059,Father
12107-061,F12107-061,Father
12107-062,F12107-062,Father
12107-063,F12107-063,Father
12107-064,F12107-064,Father
12107-065,F12107-065,Father
12107-066,F12107-066,Father
12107-068,F12107-068,Father
12107-069,F12107-069,Father
12107-070,F12107-070,Father
12108-001,F12108-001,Father
12108-002,F12108-002,Father
